Task ID,Area,Task,Description,Status,Start Date,End Date,Evidence,Assigned To,Notes
T-01,Foundation,Repo and workspace setup,"Two-package layout (server Express + client React/Vite), npm scripts for install:all / dev / build",Done,2026-07-27,2026-07-27,3335750 initial commit,,
T-02,Foundation,In-memory store,"memoryStore.ts as the single source of server state (connection, catalogs, notebooks, results); no database by design",Done,2026-07-27,2026-07-27,server/src/store/memoryStore.ts,,State is lost on restart - single-user by design
T-03,Integration,Databricks client,"Unity Catalog REST wrapper, workspace file listing/export, SQL Statement Execution API with polling (runSqlCount)",Done,2026-07-27,2026-07-27,server/src/services/databricksClient.ts,,
T-04,Integration,Connection gating middleware,"requireConnection.ts - 409 when not connected, attaches databricksConnection to request",Done,2026-07-27,2026-07-27,server/src/routes/requireConnection.ts,,
T-05,Parsing,Notebook parser,"Split Databricks notebook exports into cells (# COMMAND ----------, # MAGIC %sql)",Done,2026-07-27,2026-07-27,server/src/services/notebookParser.ts,,
T-06,Parsing,SQL analyzer with dialect fallback,"node-sql-parser across hive/transactsql/postgresql/mysql with regex fallbackParse",Done,2026-07-27,2026-07-27,server/src/services/sqlAnalyzer.ts,,
T-07,Parsing,Python/Scala code analyzer,"Extract def/assignment (Python) and def/val/var (Scala) definitions by brace/indent matching",Done,2026-07-27,2026-07-27,server/src/services/codeAnalyzer.ts,,
T-08,Flow 1,Cross-notebook reconciliation,"Group notebooks by filename baseKey, diff logic pairwise, flag structural differences",Done,2026-07-27,2026-07-27,routes/notebooks.ts + reconcile.ts,,
T-09,Flow 2,Medallion stage comparison,"COUNT(*) comparison between same-named tables in adjacent schemas + LLM explanation of mismatches",Done,2026-07-27,2026-07-27,routes/bronzeSilver.ts; tableComparator.ts,,
T-10,Flow 3,Table lineage / fan-out discovery,"extractLineageFacts tags read vs write tables per statement; batched LLM explain endpoint",Done,2026-07-27,2026-07-27,routes/lineage.ts; tableLineage.ts,,
T-11,Flow 4,Intent vs implementation validation,"Given a business rule + table, check whether the writing code implements it",Done,2026-07-27,2026-07-27,routes/validateLogic.ts,,
T-12,Flow 5,Level-by-level reconciliation review,"Per medallion hop: gather referenced code cells and return a combined LLM report (status/summary/alerts/findings)",Done,2026-07-27,2026-07-27,routes/levels.ts; levelAnalysis.ts,,
T-13,Flow 5,Governance fixes with live evidence,"/levels/fixes - fixEvidence grounds the prompt in real counts, fixVerification re-checks corrected SQL read-only",Done,2026-07-27,2026-07-27,fixEvidence.ts; fixVerification.ts,,warehouseId optional; code-only without it
T-14,Frontend,Guided wizard UI,"Connect -> Catalog & layers -> per-level review, replacing the old tabbed multi-page app",Done,2026-07-27,2026-07-27,client/src/wizard/,,
T-15,Frontend,Layer detection and editor,"detectLayers classifies schemas into bronze/silver/gold; deriveLevels builds adjacent pairs; user can reorder/relabel",Done,2026-07-27,2026-07-27,client/src/wizard/layers.ts,,
T-16,Frontend,Single API client boundary,"client/src/api/client.ts as the only place the backend is called; types mirrored by hand",Done,2026-07-27,2026-07-27,client/src/api/client.ts,,Types kept in sync manually with server/src/types/index.ts
